COUNTRY,CATEGORY,Category_count
United States,"Assault,Hostage",9
United States,Explosion,308
United States,"Explosion,Accident",2
United States,"Explosion,Hostage",3
United States,Hostage,7
Uruguay,Assault,2
Uruguay,"Assault,Explosion",2
Uruguay,Explosion,7
Uruguay,Hostage,11
Uzbekistan,Explosion,8
Venezuela,Assault,8
Venezuela,"Assault,Explosion",1
Venezuela,"Assault,Hostage",2
Venezuela,Explosion,78
Venezuela,Hostage,12
Vietnam,Assault,1
Vietnam,Explosion,2
Yemen,Assault,10
Yemen,"Assault,Explosion",10
Yemen,"Assault,Hostage",2
Yemen,Explosion,69
Yemen,Hostage,31
Zaire,Hostage,1
Zambia,Explosion,8
Zimbabwe,Assault,6
Zimbabwe,"Assault,Hostage",3
Zimbabwe,Explosion,8
Zimbabwe,"Explosion,Accident",1
Zimbabwe,Hostage,1
